run_category,start_date_converted,start_date_month,year,month,distance_km,name,run_moving_time,run_elapsed_time,total_elevation_gain,achievement_count,kudos_count,comment_count,average_cadence,pr_count,average_heartrate,max_heartrate
Regular,2022-07-09,2022-07-31,2022,7,1.78,BTU Crew - Inbound,0:15:43,0:16:04,56.0,0,32,0,63.1,0,116.4,146.0
Regular,2022-07-08,2022-07-31,2022,7,8.11,PM Loop,0:42:10,0:42:10,68.0,0,39,0,87.9,0,145.0,160.0
Regular,2022-07-06,2022-07-31,2022,7,12.03,Easy Double,1:09:22,1:09:22,83.0,0,36,0,86.2,0,137.0,151.0
Regular,2022-07-05,2022-07-31,2022,7,7.02,Capitalising on a meeting free morning,0:35:44,0:36:05,29.0,0,45,0,89.5,0,151.1,169.0
Regular,2022-07-05,2022-07-31,2022,7,10.02,Moist 10,0:50:41,0:50:41,33.0,0,57,0,89.3,0,159.8,180.0
Long Run,2022-07-02,2022-07-31,2022,7,42.31,Indigenous Marathon Foundation - Koala Bushland Edition ,4:16:50,4:32:36,808.0,3,106,8,83.9,1,147.8,178.0
Regular,2022-06-30,2022-06-30,2022,6,9.36,Lunch Loop,0:49:00,0:49:00,37.0,0,43,0,87.6,0,142.8,168.0
Regular,2022-06-29,2022-06-30,2022,6,9.39,Lunch Loop,0:49:16,0:49:20,35.0,0,40,0,88.0,0,142.7,163.0
Regular,2022-06-27,2022-06-30,2022,6,8.44,Recovery 45,0:46:58,0:46:58,27.0,0,41,0,86.8,0,138.3,159.0
Long Run,2022-06-25,2022-06-30,2022,6,24.18,Road Trail Road,2:17:09,2:19:23,347.0,2,62,1,87.1,1,153.5,172.0
Regular,2022-06-24,2022-06-30,2022,6,7.87,Lunch time scribbles,0:43:09,0:43:37,136.0,1,41,0,86.6,0,157.5,182.0
Regular,2022-06-23,2022-06-30,2022,6,7.02,Morning shakeout,0:35:48,0:35:48,24.0,0,31,0,89.5,0,150.5,172.0
Regular,2022-06-22,2022-06-30,2022,6,10.09,Easy 10,0:57:24,0:57:27,74.0,0,39,0,86.8,0,135.0,153.0
Regular,2022-06-21,2022-06-30,2022,6,7.5,PM Loop,0:42:48,0:43:53,53.0,0,34,0,86.1,0,135.8,161.0
Regular,2022-06-20,2022-06-30,2022,6,10.06,Lunch Loop,0:51:10,0:51:13,42.0,0,51,0,88.1,0,146.7,173.0
Regular,2022-06-19,2022-06-30,2022,6,12.03,Padding out the week,1:06:28,1:06:58,89.0,0,46,2,86.7,0,135.2,153.0
Regular,2022-06-18,2022-06-30,2022,6,23.57,BVRT 100 pacing ,3:33:30,3:37:58,138.0,0,79,4,67.6,0,114.1,137.0
Regular,2022-06-17,2022-06-30,2022,6,6.02,Ok that’ll do,0:32:18,0:32:48,33.0,0,51,0,87.3,0,140.7,167.0
Regular,2022-06-16,2022-06-30,2022,6,7.67,Shakeout,0:42:12,0:42:16,64.0,0,61,1,87.0,0,137.0,162.0
Regular,2022-06-14,2022-06-30,2022,6,7.34,Getting that ultra shuffle ready,0:42:48,0:43:07,32.0,1,45,1,85.4,0,139.4,159.0
Regular,2022-06-13,2022-06-30,2022,6,5.14,Lunch trails - part 2,0:28:24,0:28:24,93.0,0,36,0,86.9,0,149.7,167.0
Regular,2022-06-13,2022-06-30,2022,6,2.01,Misadventure ,0:14:26,0:15:08,17.0,1,35,3,84.5,0,125.3,139.0
Regular,2022-06-12,2022-06-30,2022,6,16.24,Strava art?? Sunday longy,1:26:43,1:26:46,105.0,1,59,0,87.2,0,143.6,177.0
Regular,2022-06-10,2022-06-30,2022,6,8.68,Early Mark,0:49:44,0:49:48,143.0,0,47,0,86.0,0,153.6,174.0
Regular,2022-06-08,2022-06-30,2022,6,12.04,Brrrr river loop,1:03:04,1:03:21,76.0,10,49,4,89.6,0,147.9,182.0
Regular,2022-06-08,2022-06-30,2022,6,9.25,Easy 9,0:54:20,0:54:20,81.0,0,42,0,86.3,0,136.7,172.0
Regular,2022-06-07,2022-06-30,2022,6,8.03,First run in the new shoes,0:38:44,0:39:23,24.0,0,42,1,89.6,0,152.2,173.0
Regular,2022-06-06,2022-06-30,2022,6,7.55,Recovery run,0:44:27,0:44:27,57.0,0,35,0,84.9,0,137.7,162.0
Regular,2022-06-05,2022-06-30,2022,6,15.09,Sunday Double,1:21:03,1:21:21,108.0,2,55,0,86.8,0,144.4,165.0
Regular,2022-06-04,2022-06-30,2022,6,8.16,Coffee and contemplation,0:40:22,0:40:22,34.0,1,53,2,89.9,0,152.7,171.0
Regular,2022-06-03,2022-06-30,2022,6,8.09,Lunch Loop,0:41:29,0:41:29,27.0,0,36,0,88.7,0,160.0,183.0
Regular,2022-06-02,2022-06-30,2022,6,8.11,Easy 45,0:45:07,0:45:07,77.0,0,44,0,86.5,0,139.8,161.0
Regular,2022-06-01,2022-06-30,2022,6,10.13,Windy tenner,0:51:51,0:51:51,75.0,0,50,1,87.6,0,155.8,180.0
Regular,2022-05-31,2022-05-31,2022,5,7.07,Post ultra shuffle,0:39:23,0:39:32,38.0,0,52,4,84.8,0,140.6,165.0
Race,2022-05-28,2022-05-31,2022,5,51.1,Glasshouse 50km - 5th,5:53:23,6:09:52,1365.0,8,113,21,78.1,4,148.6,173.0
Regular,2022-05-27,2022-05-31,2022,5,5.35,Shakeout 30,0:29:53,0:30:01,12.0,0,33,1,85.5,0,143.7,160.0
Regular,2022-05-26,2022-05-31,2022,5,10.02,Lunch Loop,0:51:09,0:51:37,39.0,0,49,2,87.5,0,151.8,172.0
